2023-05-11 13:02:13,304 INFO    MainThread:3894257 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_setup.py:_flush():76] Configure stats pid to 3894257
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_setup.py:_flush():76] Loading settings from /home/ssawmya-local/.config/wandb/settings
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_setup.py:_flush():76] Loading settings from /home/ssawmya-local/CV/project/MultiPointmixup/wandb/settings
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'MultiSageMix.py', 'program': 'MultiSageMix.py'}
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_init.py:_log_setup():507] Logging user logs to /home/ssawmya-local/CV/project/MultiPointmixup/wandb/run-20230511_130213-sq71xvhl/logs/debug.log
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ssawmya-local/CV/project/MultiPointmixup/wandb/run-20230511_130213-sq71xvhl/logs/debug-internal.log
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_init.py:init():547] calling init triggers
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_init.py:init():555] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'Pointnet++', 'dataset': 'MN40', 'epochs': 200}
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_init.py:init():596] starting backend
2023-05-11 13:02:13,305 INFO    MainThread:3894257 [wandb_init.py:init():600] setting up manager
2023-05-11 13:02:13,308 INFO    MainThread:3894257 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-11 13:02:13,325 INFO    MainThread:3894257 [wandb_init.py:init():606] backend started and connected
2023-05-11 13:02:13,327 INFO    MainThread:3894257 [wandb_init.py:init():700] updated telemetry
2023-05-11 13:02:13,745 INFO    MainThread:3894257 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-11 13:02:14,115 INFO    MainThread:3894257 [wandb_run.py:_on_init():2177] communicating current version
2023-05-11 13:02:14,293 INFO    MainThread:3894257 [wandb_run.py:_on_init():2186] got version response 
2023-05-11 13:02:14,293 INFO    MainThread:3894257 [wandb_init.py:init():787] starting run threads in backend
2023-05-11 13:02:18,157 INFO    MainThread:3894257 [wandb_run.py:_console_start():2158] atexit reg
2023-05-11 13:02:18,157 INFO    MainThread:3894257 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-11 13:02:18,158 INFO    MainThread:3894257 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-11 13:02:18,158 INFO    MainThread:3894257 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-11 13:02:18,159 INFO    MainThread:3894257 [wandb_init.py:init():829] run started, returning control to user process
2023-05-11 13:06:47,412 WARNING MsgRouterThr:3894257 [router.py:message_loop():77] message_loop has been closed
